,location,total_sqft,bath,balcony,price,bhk
39,2nd Stage Nagarbhavi,1200.0,4.0,1.0,225.0,4.0
40,2nd Stage Nagarbhavi,1500.0,3.0,2.0,230.0,4.0
42,5th Block Hbr Layout,1270.0,2.0,2.0,70.0,3.0
47,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2.0
51,5th Phase JP Nagar,1725.0,2.0,2.0,100.0,3.0
53,5th Phase JP Nagar,1700.0,2.0,3.0,100.0,3.0
56,5th Phase JP Nagar,600.0,1.0,1.0,30.0,1.0
60,5th Phase JP Nagar,1350.0,2.0,1.0,75.0,3.0
61,5th Phase JP Nagar,552.0,1.0,1.0,23.5,1.0
66,5th Phase JP Nagar,1030.0,2.0,2.0,57.0,2.0
67,5th Phase JP Nagar,1200.0,2.0,1.0,68.0,2.0
73,5th Phase JP Nagar,1010.0,2.0,2.0,57.0,2.0
75,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2.0
76,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2.0
77,6th Phase JP Nagar,1180.0,2.0,3.0,80.0,2.0
78,6th Phase JP Nagar,3245.0,4.0,2.0,250.0,4.0
79,6th Phase JP Nagar,1645.0,3.0,3.0,100.0,3.0
80,6th Phase JP Nagar,1140.0,2.0,2.0,65.0,2.0
81,6th Phase JP Nagar,2040.0,3.0,2.0,200.0,3.0
84,6th Phase JP Nagar,1460.0,2.0,2.0,80.0,2.0
85,6th Phase JP Nagar,2003.0,3.0,3.0,200.0,3.0
86,6th Phase JP Nagar,1810.0,3.0,3.0,131.0,3.0
87,6th Phase JP Nagar,1515.0,2.0,2.0,135.0,3.0
88,6th Phase JP Nagar,1192.0,2.0,3.0,75.0,2.0
89,6th Phase JP Nagar,1280.0,2.0,1.0,88.0,2.0
90,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2.0
91,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2.0
92,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3.0
93,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3.0
94,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2.0
95,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2.0
96,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3.0
97,7th Phase JP Nagar,2225.0,3.0,1.0,160.0,3.0
98,7th Phase JP Nagar,1050.0,2.0,1.0,71.0,2.0
100,7th Phase JP Nagar,918.0,2.0,1.0,50.49,2.0
101,7th Phase JP Nagar,1450.0,2.0,1.0,100.0,3.0
103,7th Phase JP Nagar,1420.0,2.0,2.0,96.0,3.0
104,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3.0
105,7th Phase JP Nagar,980.0,2.0,2.0,69.0,2.0
106,7th Phase JP Nagar,1180.0,2.0,2.0,72.0,2.0
107,7th Phase JP Nagar,1050.0,2.0,1.0,57.0,3.0
110,7th Phase JP Nagar,1400.0,3.0,1.0,115.0,3.0
111,7th Phase JP Nagar,1270.0,2.0,1.0,83.0,2.0
113,7th Phase JP Nagar,2503.0,4.0,0.0,188.0,4.0
114,7th Phase JP Nagar,2200.0,3.0,2.0,190.0,3.0
117,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3.0
118,7th Phase JP Nagar,1850.0,3.0,2.0,140.0,3.0
119,7th Phase JP Nagar,1575.0,2.0,2.0,120.0,3.0
120,7th Phase JP Nagar,1850.0,3.0,2.0,150.0,3.0
121,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3.0
122,7th Phase JP Nagar,1175.0,2.0,2.0,82.5,2.0
125,7th Phase JP Nagar,1215.0,2.0,2.0,90.0,2.0
126,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2.0
127,7th Phase JP Nagar,1300.0,3.0,2.0,89.13,3.0
128,7th Phase JP Nagar,1130.0,2.0,2.0,73.0,2.0
129,7th Phase JP Nagar,1450.0,3.0,2.0,100.0,3.0
132,7th Phase JP Nagar,1275.0,2.0,1.0,87.0,2.0
134,7th Phase JP Nagar,1650.0,3.0,2.0,110.0,3.0
136,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3.0
137,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3.0
140,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3.0
141,7th Phase JP Nagar,1675.0,2.0,2.0,135.0,3.0
143,7th Phase JP Nagar,1850.0,3.0,2.0,155.0,3.0
144,7th Phase JP Nagar,1000.0,2.0,1.0,61.0,2.0
145,7th Phase JP Nagar,1460.0,2.0,2.0,100.0,3.0
146,7th Phase JP Nagar,1650.0,3.0,3.0,110.0,3.0
148,7th Phase JP Nagar,1000.0,2.0,1.0,70.65,2.0
149,7th Phase JP Nagar,1080.0,2.0,2.0,75.0,2.0
151,7th Phase JP Nagar,1680.0,3.0,3.0,125.0,3.0
152,7th Phase JP Nagar,1460.0,2.0,1.0,97.0,3.0
153,7th Phase JP Nagar,1120.0,2.0,2.0,65.0,2.0
154,7th Phase JP Nagar,1100.0,3.0,1.0,60.0,2.0
155,7th Phase JP Nagar,1790.0,3.0,3.0,120.0,3.0
156,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3.0
157,7th Phase JP Nagar,1050.0,2.0,1.0,77.0,2.0
158,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2.0
159,7th Phase JP Nagar,1040.0,2.0,1.0,75.0,2.0
160,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3.0
161,7th Phase JP Nagar,1800.0,3.0,2.0,130.0,3.0
162,7th Phase JP Nagar,1050.0,2.0,0.0,68.0,2.0
163,7th Phase JP Nagar,1000.0,2.0,2.0,60.0,2.0
164,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3.0
165,7th Phase JP Nagar,1050.0,2.0,1.0,77.47,2.0
166,7th Phase JP Nagar,1270.0,2.0,1.0,80.0,2.0
168,7th Phase JP Nagar,1680.0,3.0,2.0,122.0,3.0
169,7th Phase JP Nagar,1130.0,2.0,2.0,85.0,2.0
170,7th Phase JP Nagar,1680.0,3.0,3.0,130.0,3.0
171,7th Phase JP Nagar,980.0,2.0,1.0,77.44,2.0
172,7th Phase JP Nagar,1680.0,3.0,2.0,112.0,3.0
174,7th Phase JP Nagar,2095.0,3.0,2.0,150.0,3.0
175,7th Phase JP Nagar,1976.0,3.0,1.0,145.0,3.0
176,7th Phase JP Nagar,1600.0,2.0,2.0,110.0,3.0
177,7th Phase JP Nagar,1765.0,3.0,2.0,118.0,3.0
178,7th Phase JP Nagar,1275.0,2.0,2.0,88.0,3.0
179,7th Phase JP Nagar,1450.0,2.0,1.0,102.0,3.0
180,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3.0
181,7th Phase JP Nagar,1075.0,2.0,1.0,57.0,3.0
182,7th Phase JP Nagar,750.0,1.0,2.0,47.0,1.0
184,7th Phase JP Nagar,1000.0,1.0,1.0,60.0,1.0
185,7th Phase JP Nagar,1680.0,2.0,3.0,92.0,3.0
186,7th Phase JP Nagar,1430.0,2.0,1.0,102.0,3.0
189,7th Phase JP Nagar,1420.0,3.0,2.0,90.0,3.0
190,7th Phase JP Nagar,1530.0,2.0,1.0,108.0,2.0
191,8th Phase JP Nagar,451.0,1.0,0.0,29.9,1.0
196,8th Phase JP Nagar,871.0,2.0,2.0,55.0,2.0
205,8th Phase JP Nagar,500.0,1.0,1.0,31.0,1.0
211,8th Phase JP Nagar,500.0,1.0,1.0,30.0,1.0
216,8th Phase JP Nagar,1504.0,2.0,2.0,83.0,3.0
224,8th Phase JP Nagar,500.0,1.0,1.0,33.0,1.0
225,8th Phase JP Nagar,1160.0,2.0,1.0,95.0,2.0
234,8th Phase JP Nagar,1408.0,3.0,2.0,80.0,3.0
238,9th Phase JP Nagar,1100.0,2.0,1.0,65.0,2.0
249,9th Phase JP Nagar,600.0,1.0,0.0,20.0,1.0
252,9th Phase JP Nagar,1079.0,2.0,1.0,60.0,2.0
253,9th Phase JP Nagar,1480.0,2.0,1.0,80.0,2.0
254,9th Phase JP Nagar,1200.0,2.0,0.0,80.0,2.0
260,9th Phase JP Nagar,1522.0,3.0,2.0,90.0,3.0
271,AECS Layout,1199.0,2.0,2.0,65.0,2.0
273,AECS Layout,1123.0,2.0,2.0,64.0,2.0
275,AECS Layout,1005.0,2.0,1.0,55.0,2.0
279,Abbigere,765.0,2.0,2.0,30.0,1.0
283,Abbigere,734.0,1.0,0.0,19.82,1.0
291,Abbigere,3000.0,8.0,0.0,150.0,8.0
300,Akshaya Nagar,1897.0,3.0,2.0,120.0,3.0
301,Akshaya Nagar,1410.0,2.0,2.0,75.0,3.0
302,Akshaya Nagar,1360.0,2.0,2.0,85.0,3.0
304,Akshaya Nagar,1410.0,2.0,2.0,80.0,3.0
308,Akshaya Nagar,1666.0,3.0,2.0,95.0,3.0
309,Akshaya Nagar,1575.0,3.0,2.0,90.0,3.0
314,Akshaya Nagar,1092.0,2.0,1.0,60.0,2.0
324,Akshaya Nagar,1662.0,3.0,2.0,90.0,3.0
326,Akshaya Nagar,1412.0,2.0,3.0,88.0,3.0
327,Akshaya Nagar,1434.0,3.0,3.0,84.0,3.0
328,Akshaya Nagar,1890.0,4.0,2.0,100.0,3.0
330,Akshaya Nagar,1419.0,2.0,3.0,87.0,3.0
336,Akshaya Nagar,1896.0,3.0,2.0,102.0,3.0
338,Akshaya Nagar,1225.0,2.0,0.0,68.0,2.0
343,Ambalipura,1105.0,2.0,1.0,75.0,2.0
344,Ambalipura,1800.0,3.0,3.0,110.0,3.0
345,Ambalipura,1150.0,2.0,2.0,80.0,2.0
347,Ambalipura,1332.0,2.0,1.0,79.0,2.0
348,Ambalipura,1730.0,3.0,1.0,120.0,3.0
349,Ambalipura,3500.0,3.0,2.0,198.0,3.0
350,Ambalipura,1230.0,2.0,2.0,66.25,2.0
351,Ambalipura,1351.0,2.0,1.0,77.0,2.0
353,Ambalipura,1817.0,3.0,3.0,102.0,3.0
355,Ambalipura,1303.0,2.0,2.0,80.0,2.0
356,Ambalipura,1607.0,2.0,2.0,112.0,3.0
357,Ambalipura,770.0,1.0,2.0,43.82,1.0
359,Ambalipura,1060.0,2.0,1.0,58.5,2.0
360,Ambalipura,1650.0,3.0,3.0,100.0,3.0
361,Ambalipura,1607.0,2.0,2.0,112.0,3.0
362,Ambalipura,1198.0,2.0,2.0,80.0,2.0
363,Ambedkar Nagar,1935.0,4.0,2.0,130.0,3.0
364,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2.0
365,Ambedkar Nagar,2225.0,4.0,2.0,169.0,3.0
366,Ambedkar Nagar,1862.0,3.0,2.0,120.0,3.0
367,Ambedkar Nagar,1850.0,4.0,3.0,139.0,3.0
368,Ambedkar Nagar,1936.0,4.0,2.0,126.0,3.0
369,Ambedkar Nagar,1862.0,3.0,2.0,119.0,3.0
370,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2.0
371,Ambedkar Nagar,2150.0,4.0,2.0,125.0,3.0
372,Ambedkar Nagar,3530.0,4.0,2.0,290.0,4.0
373,Ambedkar Nagar,1856.0,3.0,1.0,120.0,3.0
374,Ambedkar Nagar,1852.0,3.0,2.0,130.0,3.0
375,Ambedkar Nagar,1850.0,4.0,2.0,120.0,3.0
376,Ambedkar Nagar,1367.0,2.0,2.0,86.0,2.0
377,Ambedkar Nagar,3565.0,4.0,3.0,255.0,4.0
378,Ambedkar Nagar,1409.0,2.0,2.0,95.0,2.0
379,Ambedkar Nagar,1950.0,4.0,2.0,120.0,3.0
380,Ambedkar Nagar,1921.0,4.0,3.0,129.0,3.0
381,Ambedkar Nagar,1920.0,4.0,2.0,121.0,3.0
382,Ambedkar Nagar,1935.0,4.0,2.0,125.0,3.0
383,Ambedkar Nagar,1852.0,4.0,2.0,122.0,3.0
384,Ambedkar Nagar,1950.0,4.0,2.0,120.0,3.0
385,Ambedkar Nagar,1852.0,3.0,2.0,125.0,3.0
386,Ambedkar Nagar,1850.0,4.0,2.0,121.0,3.0
387,Ambedkar Nagar,1425.0,2.0,1.0,94.0,2.0
388,Ambedkar Nagar,2395.0,4.0,2.0,150.0,3.0
391,Amruthahalli,1900.0,3.0,1.0,135.0,3.0
393,Amruthahalli,900.0,2.0,1.0,60.0,2.0
399,Amruthahalli,1450.0,2.0,1.0,85.0,3.0
401,Amruthahalli,1250.0,2.0,2.0,79.0,2.0
403,Amruthahalli,1202.0,2.0,1.0,65.0,2.0
404,Amruthahalli,1340.0,2.0,1.0,75.0,2.0
405,Amruthahalli,2650.0,4.0,0.0,175.0,3.0
406,Amruthahalli,1450.0,2.0,1.0,90.0,3.0
408,Amruthahalli,485.0,1.0,1.0,19.5,1.0
410,Anandapura,1000.0,2.0,1.0,55.0,2.0
413,Anandapura,1200.0,2.0,1.0,67.0,2.0
424,Anandapura,1200.0,2.0,0.0,66.0,3.0
429,Ananth Nagar,500.0,1.0,1.0,14.0,1.0
432,Ananth Nagar,500.0,2.0,2.0,14.0,1.0
438,Ananth Nagar,500.0,1.0,1.0,14.0,1.0
452,Ananth Nagar,500.0,1.0,1.0,14.0,1.0
458,Anekal,600.0,1.0,1.0,16.5,1.0
460,Anekal,530.0,1.0,1.0,18.0,1.0
463,Anekal,351.0,1.0,1.0,16.0,1.0
476,Anekal,400.0,1.0,1.0,11.5,1.0
477,Anekal,456.0,1.0,1.0,15.0,1.0
484,Anekal,420.0,1.0,1.0,12.5,1.0
490,Anjanapura,1500.0,3.0,1.0,121.0,3.0
501,Ardendale,1750.0,3.0,2.0,100.0,3.0
503,Ardendale,2422.0,4.0,2.0,160.0,4.0
504,Ardendale,1750.0,3.0,3.0,100.0,3.0
505,Ardendale,3200.0,4.0,1.0,205.0,4.0
506,Ardendale,1728.0,3.0,2.0,95.0,3.0
507,Ardendale,2062.0,3.0,2.0,140.0,4.0
508,Ardendale,1732.46,3.0,2.0,92.0,3.0
509,Ardendale,2062.0,3.0,2.0,150.0,4.0
511,Ardendale,1224.0,2.0,2.0,70.0,2.0
512,Ardendale,1777.26,3.0,2.0,105.0,3.0
514,Ardendale,2062.0,3.0,2.0,140.0,4.0
516,Ardendale,1224.0,2.0,2.0,67.0,2.0
517,Ardendale,1723.0,3.0,2.0,95.0,3.0
520,Arekere,2060.0,3.0,2.0,140.0,3.0
522,Arekere,1740.0,2.0,2.0,95.0,3.0
524,Arekere,600.0,1.0,1.0,28.0,1.0
527,Arekere,900.0,2.0,3.0,50.0,2.0
531,Attibele,450.0,1.0,1.0,11.0,1.0
534,Attibele,400.0,1.0,1.0,11.0,1.0
535,Attibele,400.0,1.0,1.0,12.0,1.0
536,Attibele,400.0,1.0,1.0,14.0,1.0
537,Attibele,500.0,1.0,1.0,17.0,1.0
539,Attibele,395.0,1.0,1.0,10.25,1.0
540,Attibele,420.0,1.0,1.0,17.0,1.0
542,Attibele,418.0,1.0,1.0,12.0,1.0
544,Attibele,400.0,1.0,1.0,10.0,1.0
548,Attibele,450.0,1.0,1.0,12.5,1.0
552,Attibele,782.0,1.0,0.0,19.55,1.0
555,Attibele,400.0,1.0,1.0,11.5,1.0
556,Attibele,460.0,1.0,1.0,13.0,1.0
557,Attibele,418.0,2.0,1.0,11.5,1.0
559,Attibele,550.0,1.0,1.0,11.5,1.0
561,Attibele,410.0,1.0,1.0,10.0,1.0
563,Attibele,400.0,1.0,1.0,10.25,1.0
565,Attibele,1500.0,3.0,2.0,90.0,3.0
566,Attibele,520.0,1.0,1.0,15.0,1.0
570,BEML Layout,2400.0,4.0,1.0,225.0,5.0
572,BEML Layout,1194.0,2.0,1.0,65.0,2.0
573,BEML Layout,1200.0,2.0,2.0,67.0,2.0
574,BEML Layout,2400.0,2.0,1.0,228.0,2.0
577,BEML Layout,1194.0,2.0,1.0,65.0,2.0
578,BTM 2nd Stage,1260.0,5.0,1.0,185.0,3.0
579,BTM 2nd Stage,950.0,2.0,1.0,52.0,2.0
580,BTM 2nd Stage,1850.0,3.0,2.0,170.0,3.0
581,BTM 2nd Stage,1200.0,2.0,2.0,80.0,2.0
582,BTM 2nd Stage,1274.0,2.0,2.0,70.0,2.0
585,BTM 2nd Stage,1280.0,2.0,2.0,80.0,2.0
586,BTM 2nd Stage,1100.0,2.0,2.0,70.0,2.0
587,BTM 2nd Stage,1000.0,2.0,2.0,58.0,2.0
588,BTM 2nd Stage,2990.0,5.0,3.0,416.0,5.0
590,BTM 2nd Stage,2200.0,3.0,3.0,220.0,3.0
591,BTM 2nd Stage,2780.0,4.0,1.0,325.0,3.0
592,BTM 2nd Stage,2400.0,2.0,0.0,360.0,3.0
593,BTM 2nd Stage,965.0,2.0,2.0,56.0,2.0
594,BTM 2nd Stage,1147.0,2.0,1.0,75.0,2.0
595,BTM 2nd Stage,1750.0,3.0,3.0,172.0,3.0
596,BTM 2nd Stage,1400.0,2.0,3.0,90.0,2.0
597,BTM 2nd Stage,1200.0,2.0,2.0,70.0,2.0
601,BTM 2nd Stage,2500.0,3.0,2.0,345.0,3.0
602,BTM Layout,1150.0,2.0,2.0,63.0,2.0
604,BTM Layout,1450.0,2.0,2.0,81.0,3.0
606,BTM Layout,1458.0,3.0,2.0,79.0,3.0
607,BTM Layout,935.0,2.0,1.0,51.5,2.0
609,BTM Layout,1600.0,3.0,2.0,112.0,3.0
610,BTM Layout,1300.0,2.0,1.0,75.0,3.0
612,BTM Layout,450.0,1.0,1.0,20.0,1.0
614,BTM Layout,1470.0,2.0,2.0,99.0,3.0
636,Badavala Nagar,1494.0,2.0,2.0,94.55,3.0
637,Badavala Nagar,1274.0,2.0,1.0,81.0,2.0
638,Badavala Nagar,1842.0,3.0,2.0,115.0,3.0
639,Badavala Nagar,1494.0,2.0,2.0,94.55,3.0
640,Badavala Nagar,1274.0,2.0,1.0,81.0,2.0
641,Badavala Nagar,1494.0,2.0,2.0,94.55,3.0
642,Badavala Nagar,1842.0,3.0,2.0,115.0,3.0
643,Badavala Nagar,1842.0,3.0,2.0,115.0,3.0
644,Badavala Nagar,1842.0,3.0,2.0,115.0,3.0
645,Balagere,1210.0,2.0,1.0,80.9,2.0
646,Balagere,1210.0,2.0,1.0,72.0,2.0
647,Balagere,1205.0,2.0,1.0,78.5,2.0
648,Balagere,1145.0,2.0,2.0,65.0,2.0
649,Balagere,1012.0,2.0,1.0,54.59,2.0
650,Balagere,1020.07,2.0,1.0,68.38,2.0
651,Balagere,1205.47,2.0,1.0,81.0,2.0
652,Balagere,1007.0,2.0,1.0,65.0,2.0
653,Balagere,1205.0,2.0,1.0,70.0,2.0
654,Balagere,1210.0,2.0,1.0,74.0,2.0
655,Balagere,1210.0,2.0,1.0,83.0,2.0
656,Balagere,675.0,1.0,1.0,45.0,1.0
657,Balagere,656.0,1.0,1.0,43.0,1.0
658,Balagere,1012.0,2.0,1.0,54.59,2.0
659,Balagere,1012.0,2.0,1.0,64.0,2.0
660,Balagere,1007.0,2.0,1.0,62.0,2.0
661,Balagere,1007.0,2.0,1.0,67.0,2.0
662,Balagere,1007.0,2.0,1.0,66.0,2.0
665,Balagere,645.0,1.0,1.0,34.18,1.0
667,Balagere,1210.0,2.0,1.0,69.0,2.0
668,Balagere,1012.0,2.0,1.0,65.0,2.0
669,Balagere,656.0,1.0,1.0,38.77,1.0
670,Balagere,645.0,1.0,1.0,39.0,1.0
671,Balagere,645.0,1.0,1.0,41.0,1.0
672,Balagere,1210.0,2.0,1.0,82.0,2.0
673,Balagere,656.0,1.0,1.0,34.77,1.0
674,Balagere,1205.0,2.0,1.0,73.87,2.0
675,Balagere,1012.0,2.0,1.0,70.0,2.0
676,Balagere,1007.0,2.0,1.0,68.0,2.0
677,Balagere,1205.0,2.0,1.0,67.0,2.0
678,Balagere,1205.0,2.0,1.0,79.0,2.0
679,Balagere,1012.0,2.0,1.0,68.0,2.0
682,Banashankari,1470.0,2.0,1.0,88.64,3.0
683,Banashankari,1300.0,2.0,2.0,75.0,3.0
684,Banashankari,1800.0,3.0,2.0,115.0,3.0
685,Banashankari,1125.0,2.0,1.0,63.0,2.0
687,Banashankari,1310.0,2.0,2.0,80.0,2.0
689,Banashankari,1900.0,2.0,1.0,170.0,3.0
690,Banashankari,1260.0,2.0,3.0,75.0,2.0
693,Banashankari,1350.0,2.0,0.0,83.0,3.0
695,Banashankari,1330.0,2.0,1.0,78.0,2.0
696,Banashankari,1400.0,2.0,1.0,78.0,3.0
697,Banashankari,1700.0,3.0,2.0,125.0,3.0
701,Banashankari,2400.0,1.0,1.0,200.0,1.0
702,Banashankari,1390.0,2.0,2.0,86.0,2.0
705,Banashankari,1290.0,2.0,2.0,80.0,2.0
706,Banashankari,2582.0,5.0,2.0,250.0,3.0
707,Banashankari,1186.0,2.0,3.0,65.0,2.0
708,Banashankari,1650.0,3.0,2.0,101.0,3.0
710,Banashankari,1181.0,2.0,1.0,75.0,2.0
711,Banashankari,1105.0,2.0,2.0,90.0,2.0
712,Banashankari,720.0,1.0,1.0,60.0,1.0
714,Banashankari,1330.0,2.0,2.0,77.0,2.0
716,Banashankari,1185.0,2.0,2.0,67.0,2.0
718,Banashankari,1650.0,3.0,2.0,90.75,3.0
719,Banashankari,1650.0,3.0,2.0,101.0,3.0
720,Banashankari,1310.0,2.0,2.0,80.43,2.0
722,Banashankari,1430.0,2.0,2.0,87.8,2.0
727,Banashankari,1683.0,3.0,2.0,115.0,3.0
728,Banashankari,1800.0,3.0,2.0,125.0,3.0
731,Banashankari,1800.0,3.0,2.0,175.0,3.0
733,Banashankari,1770.0,3.0,3.0,108.0,3.0
734,Banashankari,1800.0,3.0,2.0,125.0,3.0
737,Banashankari,1200.0,3.0,2.0,74.52,3.0
738,Banashankari,1100.0,2.0,1.0,63.0,2.0
740,Banashankari,1260.0,2.0,3.0,75.0,2.0
742,Banashankari,1426.0,3.0,2.0,85.0,3.0
743,Banashankari Stage II,1700.0,2.0,2.0,150.0,2.0
744,Banashankari Stage II,1200.0,2.0,1.0,150.0,4.0
745,Banashankari Stage II,1500.0,2.0,1.0,120.0,3.0
746,Banashankari Stage II,2400.0,3.0,2.0,510.0,5.0
748,Banashankari Stage II,1250.0,2.0,2.0,110.0,2.0
749,Banashankari Stage II,1260.0,2.0,1.0,95.0,3.0
750,Banashankari Stage II,2400.0,2.0,2.0,300.0,3.0
751,Banashankari Stage II,1400.0,2.0,1.0,100.0,2.0
752,Banashankari Stage II,2800.0,3.0,2.0,425.0,5.0
753,Banashankari Stage II,3000.0,3.0,2.0,450.0,3.0
754,Banashankari Stage II,1200.0,2.0,1.0,198.0,3.0
755,Banashankari Stage II,1245.0,2.0,1.0,125.0,2.0
758,Banashankari Stage III,1650.0,3.0,2.0,118.0,3.0
759,Banashankari Stage III,2400.0,4.0,1.0,240.0,4.0
768,Banashankari Stage III,1304.0,2.0,0.0,111.0,2.0
771,Banashankari Stage III,1500.0,2.0,2.0,100.0,3.0
772,Banashankari Stage III,2100.0,3.0,1.0,147.0,4.0
773,Banashankari Stage III,1420.0,2.0,2.0,95.0,3.0
787,Banashankari Stage VI,2200.0,4.0,2.0,195.0,4.0
796,Banaswadi,1365.0,2.0,2.0,73.0,2.0
798,Banaswadi,1222.0,2.0,2.0,80.0,2.0
802,Banaswadi,527.0,1.0,0.0,35.0,1.0
803,Banaswadi,1340.0,2.0,2.0,73.0,2.0
806,Banjara Layout,1200.0,2.0,2.0,70.0,2.0
807,Banjara Layout,1050.0,2.0,1.0,64.8,2.0
808,Banjara Layout,753.0,3.0,3.0,59.5,2.0
809,Banjara Layout,2500.0,4.0,0.0,140.0,3.0
810,Bannerghatta,3012.0,6.0,2.0,250.0,4.0
811,Bannerghatta,1665.0,3.0,3.0,110.0,3.0
812,Bannerghatta,2370.0,4.0,2.0,195.0,3.0
813,Bannerghatta,1100.0,2.0,1.0,66.0,2.0
814,Bannerghatta,1113.0,2.0,1.0,70.0,2.0
815,Bannerghatta,1200.0,2.0,2.0,73.2,2.0
816,Bannerghatta,1070.0,2.0,1.0,87.0,2.0
817,Bannerghatta,1776.0,3.0,2.0,124.0,3.0
818,Bannerghatta,1776.0,3.0,2.0,150.0,3.0
819,Bannerghatta Road,500.0,1.0,1.0,18.5,1.0
820,Bannerghatta Road,1050.0,2.0,1.0,65.0,2.0
821,Bannerghatta Road,1200.0,2.0,0.0,125.0,4.0
822,Bannerghatta Road,1170.0,2.0,1.0,66.0,3.0
823,Bannerghatta Road,595.0,1.0,1.0,33.32,1.0
824,Bannerghatta Road,1445.0,3.0,2.0,95.0,3.0
825,Bannerghatta Road,1640.0,2.0,1.0,120.0,3.0
827,Bannerghatta Road,1460.0,2.0,1.0,90.0,3.0
829,Bannerghatta Road,1179.0,2.0,1.0,66.02,2.0
830,Bannerghatta Road,793.0,2.0,1.0,45.0,2.0
832,Bannerghatta Road,1400.0,2.0,2.0,78.0,2.0
835,Bannerghatta Road,1654.0,3.0,2.0,100.0,3.0
838,Bannerghatta Road,1200.0,2.0,2.0,75.0,2.0
840,Bannerghatta Road,595.0,1.0,1.0,31.83,1.0
846,Bannerghatta Road,1650.0,3.0,2.0,122.0,3.0
847,Bannerghatta Road,912.0,2.0,1.0,55.0,2.0
848,Bannerghatta Road,1218.0,2.0,1.0,73.0,2.0
850,Bannerghatta Road,1115.0,2.0,1.0,65.12,2.0
853,Bannerghatta Road,1600.0,3.0,2.0,95.0,3.0
857,Bannerghatta Road,1260.0,2.0,2.0,70.0,2.0
860,Bannerghatta Road,1150.0,2.0,2.0,65.0,2.0
864,Bannerghatta Road,1725.0,3.0,2.0,110.0,3.0
865,Bannerghatta Road,1850.0,6.0,3.0,150.0,6.0
868,Bannerghatta Road,1220.0,2.0,1.0,80.0,2.0
869,Bannerghatta Road,1130.0,2.0,2.0,78.0,2.0
